year,property_id,quarter_mapi,geomid_s,setl_name,rental_price,listings_amount,red_flag
2022,12,3,,,,6,False
2022,12,9,,,,4,False
2022,12,12,,,,5,False
2023,12,3,,,,9,False
2023,12,6,,,70.82268335529204,13,False
2023,12,9,,,73.10746268170105,22,False
2023,12,12,,,79.88922678536295,24,False
2024,12,3,,,75.31235088348704,23,False
2024,12,6,,,80.68421941350775,23,False
2024,12,9,,,81.17395373555347,32,False
2024,12,12,,,82.11407073380546,42,False
2025,12,3,,,81.81982413920527,56,False
2025,12,6,,,77.95614550944713,60,False
2025,12,9,,,85.29259544930903,55,False
2025,12,12,,,81.1992037760746,63,False
2026,12,3,,,82.07949620863776,87,False
2022,12,9,s_182,אבן יהודה,,1,False
2023,12,3,s_182,אבן יהודה,,3,False
2023,12,12,s_182,אבן יהודה,,4,False
2024,12,6,s_182,אבן יהודה,,3,False
2025,12,3,s_182,אבן יהודה,,2,False
2025,12,12,s_182,אבן יהודה,,3,False
2026,12,3,s_182,אבן יהודה,,3,False
2022,12,3,s_2400,אור יהודה,48.46280810907359,13,False
2022,12,6,s_2400,אור יהודה,68.98046476012809,13,True
2022,12,9,s_2400,אור יהודה,54.646704076367385,14,False
2023,12,3,s_2400,אור יהודה,,8,False
2023,12,6,s_2400,אור יהודה,61.04999651849376,10,False
2023,12,9,s_2400,אור יהודה,,9,False
2023,12,12,s_2400,אור יהודה,74.48317588776929,11,False
2024,12,3,s_2400,אור יהודה,54.8434652919925,12,True
2024,12,6,s_2400,אור יהודה,62.36910953260687,12,False
2024,12,9,s_2400,אור יהודה,60.11221382783883,13,False
2024,12,12,s_2400,אור יהודה,51.31221382783883,13,False
2025,12,3,s_2400,אור יהודה,58.088967331118496,13,False
2025,12,9,s_2400,אור יהודה,,9,False
2025,12,12,s_2400,אור יהודה,49.4836448954371,10,False
2026,12,3,s_2400,אור יהודה,45.7383712905452,13,False
2022,12,12,s_1020,אור עקיבא,,1,False
2023,12,3,s_1020,אור עקיבא,,2,False
2023,12,6,s_1020,אור עקיבא,,3,False
2024,12,9,s_1020,אור עקיבא,,1,False
2025,12,6,s_1020,אור עקיבא,,2,False
2025,12,12,s_1020,אור עקיבא,,3,False
2022,12,3,s_565,אזור,,7,False
2022,12,6,s_565,אזור,,8,False
2022,12,9,s_565,אזור,74.1468917555874,10,False
2023,12,3,s_565,אזור,57.68015873015873,11,False
2023,12,6,s_565,אזור,63.661526814769395,16,False
2023,12,9,s_565,אזור,68.40701935146419,15,False
2023,12,12,s_565,אזור,67.49035268479753,20,False
2024,12,3,s_565,אזור,64.56363158946284,19,False
2024,12,6,s_565,אזור,64.9923336406663,13,False
2024,12,9,s_565,אזור,70.47566697399964,13,False
2024,12,12,s_565,אזור,60.12842432694082,12,False
2025,12,3,s_565,אזור,58.15226715686275,10,False
2025,12,6,s_565,אזור,57.39489754235027,16,False
2025,12,12,s_565,אזור,51.27542517006802,17,False
2026,12,3,s_565,אזור,56.98754657228017,18,False
2024,12,3,s_1724,אזור תעסוקה משגב( תרדיון),,2,False
2024,12,9,s_1724,אזור תעסוקה משגב( תרדיון),,4,False
2024,12,12,s_1724,אזור תעסוקה משגב( תרדיון),,5,False
2025,12,3,s_1724,אזור תעסוקה משגב( תרדיון),,4,False
2022,12,3,s_2600,אילת,,1,False
2022,12,9,s_2600,אילת,,2,False
2022,12,12,s_2600,אילת,,5,False
2023,12,3,s_2600,אילת,,7,False
2023,12,6,s_2600,אילת,,8,False
2023,12,9,s_2600,אילת,,9,False
2023,12,12,s_2600,אילת,,7,False
2024,12,9,s_2600,אילת,,2,False
2024,12,12,s_2600,אילת,,3,False
2025,12,3,s_2600,אילת,,5,False
2025,12,6,s_2600,אילת,,8,False
2025,12,12,s_2600,אילת,,7,False
2026,12,3,s_2600,אילת,88.77564102564102,10,False
2022,12,3,s_70,אשדוד,65.43424745517379,48,False
2022,12,6,s_70,אשדוד,66.01475332464204,54,False
2022,12,9,s_70,אשדוד,66.75653246333904,75,False
2022,12,12,s_70,אשדוד,67.82270460985296,69,False
2023,12,3,s_70,אשדוד,64.64612702466985,98,False
2023,12,6,s_70,אשדוד,70.27389981101844,103,False
2023,12,9,s_70,אשדוד,68.54692259830966,87,False
2023,12,12,s_70,אשדוד,68.33062699405848,91,False
2024,12,3,s_70,אשדוד,65.17676868443985,69,False
2024,12,6,s_70,אשדוד,65.88090211755555,70,False
2024,12,9,s_70,אשדוד,60.70827665785965,69,False
2024,12,12,s_70,אשדוד,65.14543697366038,73,False
2025,12,3,s_70,אשדוד,63.3910942668876,63,False
